config_key,basis,window,threshold,hook,trades,gross_pnl,commission,slippage,costs,net_pnl,net_return_pct,net_sharpe,max_drawdown_pct,max_drawdown_usd,win_rate_pct,profit_factor,reconciliation_error
z_w30_t1.5_h0,z,30,1.5,0.0,924,3807.0049000000126,252.50400000000002,7299.464473099243,7551.968473099243,-3744.963573099231,-3.744963573099231,-1.0179714738338423,6.378061825093861,6457.685489959535,29.87012987012987,0.8512544368568159,4.547473508864641e-13
z_w30_t1.5_h0.15,z,30,1.5,0.15,919,3794.75760000004,251.104,7260.290225759309,7511.394225759309,-3716.636625759268,-3.7166366257592682,-1.0856556681564433,5.704215935038159,5771.470681239574,29.815016322089228,0.8482464316031252,-4.547473508864641e-13
z_w30_t2_h0,z,30,2.0,0.0,714,3124.1032000000005,195.293,5642.284693519399,5837.577693519399,-2713.4744935193994,-2.7134744935193993,-0.8400603726254278,5.944582684754229,6018.49564819962,32.35294117647059,0.8697310429019603,4.547473508864641e-13
z_w30_t2_h0.15,z,30,2.0,0.15,707,3620.973600000022,193.33300000000003,5586.966518959467,5780.299518959467,-2159.3259189594455,-2.1593259189594454,-0.6634594021781199,5.76818460667411,5839.558687879689,33.38048090523338,0.8941742437568969,4.547473508864641e-13
z_w30_t2.5_h0,z,30,2.5,0.0,588,1890.7409000000443,160.88100000000003,4643.6988728995075,4804.579872899508,-2913.8389728994625,-2.9138389728994625,-0.9485115549827301,5.680301987479663,5736.266023559714,30.4421768707483,0.8194853017577421,-9.094947017729282e-13
z_w30_t2.5_h0.15,z,30,2.5,0.15,567,2191.3221000000203,155.21099999999998,4477.769664099562,4632.980664099562,-2441.6585640995404,-2.4416585640995403,-0.8244970356233533,5.4089765721745175,5458.993252779794,30.687830687830687,0.8453305053516171,-1.3642420526593924e-12
z_w30_t3_h0,z,30,3.0,0.0,277,2641.8229999999967,75.978,2186.6088620797673,2262.5868620797673,379.23613792022957,0.3792361379202296,0.1948383270462514,1.9152921809781565,1922.368759679899,32.851985559566785,1.0562655204691755,-2.2737367544323206e-13
z_w30_t3_h0.15,z,30,3.0,0.15,272,2454.4293000000384,74.592,2147.2755021397807,2221.8675021397808,232.561797860257,0.232561797860257,0.13307861085613806,1.8430380403912539,1849.5193823798909,32.35294117647059,1.0353043515871558,6.821210263296962e-13
z_w60_t1.5_h0,z,60,1.5,0.0,803,3519.95200000003,220.066,6344.209723199341,6564.275723199341,-3044.3237231993107,-3.0443237231993105,-0.849748810145892,5.574983691308033,5621.461548679581,30.510585305105852,0.8668443001911004,-4.547473508864641e-13
z_w60_t1.5_h0.15,z,60,1.5,0.15,786,4154.100900000038,215.32,6210.14088221943,6425.46088221943,-2271.3599822193905,-2.2713599822193906,-0.6695060109674225,5.04491153196045,5102.875193499654,32.06106870229007,0.896453167610919,-1.8189894035458565e-12
z_w60_t2_h0,z,60,2.0,0.0,680,4303.419700000042,187.23600000000002,5375.251555019467,5562.4875550194665,-1259.0678550194239,-1.2590678550194239,-0.37464974489198893,4.24583937327323,4295.521355179706,31.91176470588235,0.9316542380872546,-4.547473508864641e-13
z_w60_t2_h0.15,z,60,2.0,0.15,665,4139.956600000045,182.973,5255.530141639492,5438.503141639492,-1298.5465416394472,-1.2985465416394473,-0.41680508483135786,4.378854819065536,4428.841965519692,31.127819548872182,0.9283324491776784,0.0
z_w60_t2.5_h0,z,60,2.5,0.0,518,2261.5738999999407,142.247,4091.5874180195883,4233.834418019588,-1972.260518019648,-1.972260518019648,-0.6906990513611545,4.832160473647207,4886.473953719818,31.467181467181465,0.8528797757384878,6.821210263296962e-13
z_w60_t2.5_h0.15,z,60,2.5,0.15,497,2144.082500000026,136.381,3924.6825576196215,4061.0635576196214,-1916.9810576195964,-1.9169810576195965,-0.7030823795292931,4.800722115807088,4855.45085759979,30.181086519114686,0.8543331720029115,6.821210263296962e-13
z_w60_t3_h0,z,60,3.0,0.0,294,380.5533999999681,80.521,2321.302328439733,2401.8233284397334,-2021.2699284397656,-2.0212699284397657,-1.702024853483184,2.8340318671115416,2854.269849119897,29.591836734693878,0.6798968056891187,6.821210263296962e-13
z_w60_t3_h0.15,z,60,3.0,0.15,279,232.78900000001306,76.398,2202.9036275998096,2279.3016275998098,-2046.5126275997973,-2.046512627599797,-1.761404310155395,2.6401849402042488,2656.2840330198233,27.598566308243726,0.6670310633641953,6.821210263296962e-13
z_w120_t1.5_h0,z,120,1.5,0.0,734,4345.28550000002,201.41800000000003,5798.618759259403,6000.036759259403,-1654.7512592593803,-1.6547512592593805,-0.4647534169400107,4.630129472892719,4681.04323453964,30.79019073569482,0.9222727902284887,-2.7284841053187847e-12
z_w120_t1.5_h0.15,z,120,1.5,0.15,706,4360.845700000022,193.65499999999997,5578.935842579471,5772.5908425794705,-1411.7451425794507,-1.4117451425794507,-0.4359840653209199,4.061227186842819,4105.746963739672,31.1614730878187,0.9309174591445976,1.8189894035458565e-12
z_w120_t2_h0,z,120,2.0,0.0,581,4193.949500000028,159.38299999999998,4592.773620899539,4752.156620899539,-558.2071208995121,-0.5582071208995121,-0.16845648430363253,4.387774541461809,4435.98324589977,32.01376936316696,0.9657342657942578,9.094947017729282e-13
z_w120_t2_h0.15,z,120,2.0,0.15,565,4314.002200000023,155.078,4465.347410559512,4620.425410559513,-306.4232105594899,-0.3064232105594899,-0.08861170126583492,4.470011739904878,4516.3297439997405,33.27433628318584,0.9809820161446574,-2.2737367544323206e-13
z_w120_t2.5_h0,z,120,2.5,0.0,438,1398.228299999937,119.53900000000002,3459.224750979586,3578.7637509795863,-2180.5354509796502,-2.1805354509796504,-0.961902326804402,3.1936746387929427,3213.6504700598307,28.31050228310502,0.7844224958511695,1.3642420526593924e-12
z_w120_t2.5_h0.15,z,120,2.5,0.15,421,1147.8465000000283,115.00300000000001,3324.038665379623,3439.0416653796233,-2291.195165379595,-2.291195165379595,-1.0505063127067795,3.5063347778877763,3530.142547739786,27.790973871733964,0.7784969603381539,0.0
z_w120_t3_h0,z,120,3.0,0.0,214,-197.88010000000133,57.911,1689.7363794598123,1747.6473794598123,-1945.527479459813,-1.9455274794598132,-0.9910936946427168,3.041824705892593,3045.5014950599143,27.570093457943923,0.6626550460960539,-4.547473508864641e-13
z_w120_t3_h0.15,z,120,3.0,0.15,209,-574.7236999999944,56.609,1649.9741430197628,1706.5831430197627,-2281.306843019757,-2.281306843019757,-1.2598213636330358,2.911337311471096,2914.2647792798525,25.837320574162682,0.6202089775339286,-4.547473508864641e-13
absolute_qqq_points_w0_t0.25_h0,absolute_qqq_points,0,0.25,0.0,960,4430.069800000021,262.052,7583.194271559225,7845.246271559225,-3415.176471559202,-3.4151764715592026,-0.8164612094610318,6.796309226108466,6883.855696719489,35.625,0.8831554371107297,-1.3642420526593924e-12
absolute_qqq_points_w0_t0.25_h0.1,absolute_qqq_points,0,0.25,0.1,945,3863.1215000000457,257.82399999999996,7465.180805219264,7723.004805219263,-3859.8833052192185,-3.8598833052192187,-1.0080255561362401,6.719755096806923,6795.517392039532,31.746031746031743,0.8590179816967951,4.547473508864641e-13
absolute_qqq_points_w0_t0.5_h0,absolute_qqq_points,0,0.5,0.0,645,5438.178400000032,176.12,5094.945863279501,5271.065863279501,167.1125367205284,0.1671125367205284,0.0623986719500202,4.034195814606445,4083.769918299673,37.82945736434108,1.0070417637762012,2.0463630789890885e-12
absolute_qqq_points_w0_t0.5_h0.1,absolute_qqq_points,0,0.5,0.1,633,5866.54900000001,172.921,5001.735571359517,5174.656571359517,691.8924286404933,0.6918924286404934,0.2073030289341323,3.4399268573076514,3479.3773106397275,37.44075829383886,1.0314384854573195,-6.821210263296962e-13
absolute_qqq_points_w0_t0.75_h0,absolute_qqq_points,0,0.75,0.0,484,5973.275500000038,132.23,3824.2339132196494,3956.4639132196494,2016.8115867803892,2.0168115867803893,0.5499873537512903,2.5836495620843336,2703.043448979908,42.561983471074385,1.1029563587928541,-2.2737367544323206e-13
absolute_qqq_points_w0_t0.75_h0.1,absolute_qqq_points,0,0.75,0.1,480,5964.088599999999,131.159,3792.7830821996567,3923.942082199657,2040.1465178003416,2.0401465178003413,0.5735730925625231,2.4295635798833537,2538.028909199915,40.625,1.1087725091591205,1.1368683772161603e-12
absolute_qqq_points_w0_t1_h0,absolute_qqq_points,0,1.0,0.0,376,3755.930600000029,102.52900000000001,2969.466876399719,3071.995876399719,683.93472360031,0.6839347236003099,0.2064842021197859,2.7891739149493056,2811.875255219973,42.819148936170215,1.0376036006381724,0.0
absolute_qqq_points_w0_t1_h0.1,absolute_qqq_points,0,1.0,0.1,375,4093.0690999999997,102.242,2960.7143921397037,3062.956392139704,1030.112707860297,1.030112707860297,0.3154188075902895,2.6479442007149356,2669.611143019836,42.66666666666667,1.05910132785964,-1.1368683772161603e-12
absolute_qqq_points_w0_t1.5_h0,absolute_qqq_points,0,1.5,0.0,273,2932.1114999999963,74.50800000000001,2155.522394739798,2230.030394739798,702.081105260199,0.7020811052601991,0.23488633918837348,2.527097934167899,2547.091608579867,41.39194139194139,1.0465060477255475,-5.684341886080801e-13
