config_key,basis,window,threshold,hook,trades,gross_pnl,commission,slippage,costs,net_pnl,net_return_pct,net_sharpe,max_drawdown_pct,max_drawdown_usd,win_rate_pct,profit_factor,reconciliation_error
absolute_qqq_points_w0_t0.75_h0.1,absolute_qqq_points,0,0.75,0.1,480,5964.088599999999,131.159,3792.7830821996567,3923.942082199657,2040.1465178003416,2.0401465178003413,0.5735730925625231,2.4295635798833537,2538.028909199915,40.625,1.1087725091591205,1.1368683772161603e-12
absolute_qqq_points_w0_t0.75_h0,absolute_qqq_points,0,0.75,0.0,484,5973.275500000038,132.23,3824.2339132196494,3956.4639132196494,2016.8115867803892,2.0168115867803893,0.5499873537512903,2.5836495620843336,2703.043448979908,42.561983471074385,1.1029563587928541,-2.2737367544323206e-13
absolute_qqq_points_w0_t1_h0.1,absolute_qqq_points,0,1.0,0.1,375,4093.0690999999997,102.242,2960.7143921397037,3062.956392139704,1030.112707860297,1.030112707860297,0.3154188075902895,2.6479442007149356,2669.611143019836,42.66666666666667,1.05910132785964,-1.1368683772161603e-12
absolute_qqq_points_w0_t1.5_h0,absolute_qqq_points,0,1.5,0.0,273,2932.1114999999963,74.50800000000001,2155.522394739798,2230.030394739798,702.081105260199,0.7020811052601991,0.23488633918837348,2.527097934167899,2547.091608579867,41.39194139194139,1.0465060477255475,-5.684341886080801e-13
absolute_qqq_points_w0_t1.5_h0.1,absolute_qqq_points,0,1.5,0.1,268,2804.4217999999873,73.17800000000001,2115.952667959778,2189.130667959778,615.2911320402084,0.6152911320402084,0.218819275669904,2.6280876503873896,2648.297127819882,42.91044776119403,1.0423154515794104,1.1368683772161603e-12
absolute_qqq_points_w0_t0.5_h0.1,absolute_qqq_points,0,0.5,0.1,633,5866.54900000001,172.921,5001.735571359517,5174.656571359517,691.8924286404933,0.6918924286404934,0.2073030289341323,3.4399268573076514,3479.3773106397275,37.44075829383886,1.0314384854573195,-6.821210263296962e-13
absolute_qqq_points_w0_t1_h0,absolute_qqq_points,0,1.0,0.0,376,3755.930600000029,102.52900000000001,2969.466876399719,3071.995876399719,683.93472360031,0.6839347236003099,0.2064842021197859,2.7891739149493056,2811.875255219973,42.819148936170215,1.0376036006381724,0.0
z_w30_t3_h0,z,30,3.0,0.0,277,2641.8229999999967,75.978,2186.6088620797673,2262.5868620797673,379.23613792022957,0.3792361379202296,0.1948383270462514,1.9152921809781565,1922.368759679899,32.851985559566785,1.0562655204691755,-2.2737367544323206e-13
z_w30_t3_h0.15,z,30,3.0,0.15,272,2454.4293000000384,74.592,2147.2755021397807,2221.8675021397808,232.561797860257,0.232561797860257,0.13307861085613806,1.8430380403912539,1849.5193823798909,32.35294117647059,1.0353043515871558,6.821210263296962e-13
absolute_qqq_points_w0_t0.5_h0,absolute_qqq_points,0,0.5,0.0,645,5438.178400000032,176.12,5094.945863279501,5271.065863279501,167.1125367205284,0.1671125367205284,0.0623986719500202,4.034195814606445,4083.769918299673,37.82945736434108,1.0070417637762012,2.0463630789890885e-12
z_w120_t2_h0.15,z,120,2.0,0.15,565,4314.002200000023,155.078,4465.347410559512,4620.425410559513,-306.4232105594899,-0.3064232105594899,-0.08861170126583492,4.470011739904878,4516.3297439997405,33.27433628318584,0.9809820161446574,-2.2737367544323206e-13
z_w120_t2_h0,z,120,2.0,0.0,581,4193.949500000028,159.38299999999998,4592.773620899539,4752.156620899539,-558.2071208995121,-0.5582071208995121,-0.16845648430363253,4.387774541461809,4435.98324589977,32.01376936316696,0.9657342657942578,9.094947017729282e-13
